                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0154,                 1.1961,                0.62767,                0.92838,                0.90051,                0.86555,                0.95004,                0.73705,                0.90185,                0.85607,                 0.9395,                0.58408,                 0.7816,                0.99019,                0.48602,                0.87468,               0.007624,               0.007624,               0.007624
                     26,                 1.0264,                 1.2109,                 0.6323,                0.93001,                0.89929,                 0.8674,                0.95032,                0.73806,                0.90169,                0.85697,                0.93987,                0.58524,                0.77972,                0.98695,                0.48472,                 0.8741,               0.007525,               0.007525,               0.007525
                     27,                 1.0215,                 1.2046,                0.63388,                0.92987,                0.90077,                0.86728,                0.95056,                0.73914,                0.90077,                0.85697,                0.93958,                 0.5852,                0.77721,                0.98415,                0.48365,                0.87354,               0.007426,               0.007426,               0.007426
                     28,                 1.0192,                 1.1999,                0.62789,                0.92844,                0.90183,                0.86692,                0.95107,                 0.7401,                0.90104,                0.85731,                0.94013,                0.58607,                0.77512,                0.98133,                0.48203,                0.87298,               0.007327,               0.007327,               0.007327
                     29,                 1.0121,                 1.1898,                0.62597,                0.92727,                0.90188,                0.86806,                0.95142,                0.74114,                0.90251,                0.85787,                0.94074,                0.58697,                0.77283,                0.97797,                0.48052,                0.87236,               0.007228,               0.007228,               0.007228
                     30,                 1.0048,                  1.179,                0.61911,                0.92667,                0.90269,                0.86851,                0.95212,                0.74232,                0.90283,                0.85902,                0.94109,                0.58787,                0.77059,                0.97552,                0.47914,                0.87175,               0.007129,               0.007129,               0.007129
                     31,                 1.0031,                  1.185,                0.61902,                0.92458,                0.90094,                0.87074,                0.95261,                0.74354,                0.90279,                0.85905,                 0.9414,                0.58837,                0.76781,                0.97237,                0.47748,                0.87102,                0.00703,                0.00703,                0.00703
                     32,                0.99551,                 1.1676,                0.61202,                0.92311,                0.90283,                 0.8704,                0.95319,                0.74507,                0.90251,                0.86082,                0.94192,                0.58902,                0.76488,                0.96816,                0.47557,                0.87049,               0.006931,               0.006931,               0.006931
                     33,                 0.9885,                 1.1603,                0.61196,                0.92129,                0.90374,                0.87065,                0.95342,                 0.7461,                0.90244,                0.86099,                0.94222,                0.58922,                0.76222,                0.96346,                0.47354,                0.87001,               0.006832,               0.006832,               0.006832
                     34,                0.98793,                 1.1589,                0.60596,                0.92177,                0.90395,                0.87141,                0.95376,                0.74726,                0.90475,                 0.8598,                0.94251,                0.58983,                0.76016,                0.96078,                0.47209,                 0.8695,               0.006733,               0.006733,               0.006733
                     35,                0.97947,                 1.1501,                0.60105,                0.91857,                0.90357,                 0.8725,                0.95431,                0.74886,                0.90432,                0.86066,                0.94283,                 0.5907,                0.75674,                0.95597,                0.47002,                0.86875,               0.006634,               0.006634,               0.006634
                     36,                0.97583,                 1.1443,                0.60065,                0.91808,                0.90484,                0.87326,                0.95487,                 0.7503,                0.90656,                 0.8608,                0.94335,                0.59173,                0.75382,                0.95134,                0.46812,                0.86808,               0.006535,               0.006535,               0.006535
                     37,                0.97086,                 1.1374,                0.59375,                0.91645,                0.90558,                0.87333,                 0.9552,                0.75145,                0.90754,                0.86041,                0.94351,                0.59224,                0.75116,                 0.9479,                0.46658,                0.86747,               0.006436,               0.006436,               0.006436
                     38,                0.96919,                 1.1363,                0.59482,                0.91667,                0.90662,                0.87324,                0.95558,                0.75288,                0.90769,                0.86087,                0.94375,                0.59325,                0.74852,                0.94432,                0.46472,                0.86688,               0.006337,               0.006337,               0.006337
                     39,                0.96655,                 1.1324,                0.59054,                 0.9155,                 0.9062,                0.87491,                0.95603,                0.75402,                0.90866,                0.86127,                0.94427,                0.59354,                 0.7461,                0.94109,                0.46307,                0.86632,               0.006238,               0.006238,               0.006238
                     40,                 0.9654,                 1.1301,                 0.5909,                0.91564,                0.90705,                0.87591,                0.95659,                0.75546,                 0.9091,                0.86231,                0.94475,                0.59421,                0.74303,                0.93669,                0.46095,                0.86569,               0.006139,               0.006139,               0.006139
                     41,                0.96282,                 1.1245,                0.58822,                0.91512,                  0.908,                0.87579,                0.95709,                0.75709,                0.91097,                0.86108,                0.94513,                0.59516,                0.73969,                0.93244,                 0.4589,                0.86503,                0.00604,                0.00604,                0.00604
                     42,                0.95488,                 1.1208,                0.58594,                0.91433,                0.90806,                0.87717,                0.95757,                0.75827,                0.91203,                0.86045,                0.94521,                0.59497,                0.73707,                0.92935,                0.45735,                0.86446,               0.005941,               0.005941,               0.005941
                     43,                0.95299,                  1.117,                0.58337,                 0.9132,                0.90877,                0.87867,                0.95832,                0.76018,                0.91132,                0.86229,                0.94581,                 0.5957,                0.73345,                0.92466,                0.45538,                0.86369,               0.005842,               0.005842,               0.005842
                     44,                0.94857,                 1.1113,                0.57978,                0.91189,                 0.9094,                0.87939,                0.95865,                0.76147,                0.91226,                0.86415,                0.94659,                0.59681,                0.73028,                0.92088,                 0.4536,                0.86292,               0.005743,               0.005743,               0.005743
                     45,                0.94545,                 1.0991,                0.58065,                 0.9114,                0.91019,                0.87969,                0.95913,                0.76253,                0.91389,                0.86348,                0.94685,                0.59724,                 0.7281,                0.91776,                0.45237,                0.86241,               0.005644,               0.005644,               0.005644
